Riot Games Name,Riot Games Tag Line,Summoner Level,Summoner Points,Summoner Wins,Summoner Losses,Is Veteran?,Is Inactive?,Is Fresh Blood?,Is Hot Streak?,Summoner Tier
MÙA NÀY TĐ,2002,568,271,116,72,False,False,True,True,Grandmaster
k 1 so ho,yahsu,495,365,95,42,False,False,True,False,Grandmaster
LTC Hay Dỗi ,VN2,75,433,129,84,False,False,True,False,Grandmaster
Neoo1,VN2,486,381,116,106,False,False,True,True,Grandmaster
Chưa Tàii Đâuu,VN2,277,300,123,81,False,False,True,True,Grandmaster
Singed Choi,12321,465,266,150,112,False,False,True,True,Grandmaster
Khánh đz vcl,666,127,365,99,74,False,False,True,False,Grandmaster
15071999,VN2,279,444,209,172,False,False,True,False,Grandmaster
TríKhánh,1810,544,247,174,147,False,False,False,False,Grandmaster
Tùng bé,6789,251,259,157,120,False,False,True,True,Grandmaster
T1 Nidrim 2k,2110,137,257,121,86,False,False,True,True,Grandmaster
Không Phải Alexx,1809,5,505,186,161,False,False,True,False,Grandmaster
1Plus2Nana,VN3,415,497,121,92,False,False,True,False,Grandmaster
onlyngmyanna,6944,276,290,83,54,False,False,True,True,Grandmaster
valen,9526,47,334,157,131,False,False,True,True,Grandmaster
NamBom,1711,587,369,98,57,False,False,False,True,Grandmaster
nút D bị lờn,2317,24,278,194,151,False,False,True,False,Grandmaster
Sknovaez,4124,180,388,229,222,False,False,True,False,Grandmaster
bi long1,6394,91,352,127,103,False,False,True,False,Grandmaster
tuansaker,2503,384,487,133,89,False,False,True,True,Grandmaster
ho con ciuciu,VN2,78,464,151,85,False,False,True,True,Grandmaster
Jayce Tơ Hồng,uzui,173,255,123,102,False,False,True,False,Grandmaster
Chill chiu,VN2,112,254,97,71,False,False,True,False,Grandmaster
ConBòĐiĂnCỏ,235,642,342,158,131,False,False,True,False,Grandmaster
Charlotte,25021,419,430,166,122,False,False,False,True,Grandmaster
qtnamm,1112,2,231,97,81,False,False,True,False,Grandmaster
luge293,WBH,639,312,83,60,False,False,True,True,Grandmaster
nhangu,VN2,5,314,147,104,False,False,True,True,Grandmaster
Linn Đi Mưaaa,Linn,10,334,152,140,False,False,True,False,Grandmaster
Sagamy,Ino,1,295,138,102,False,False,True,False,Grandmaster
Nút D Độ Sang,3958,24,237,129,104,False,False,True,False,Grandmaster
Thỏ Meöw Meöw,1928,249,265,123,107,False,False,True,False,Grandmaster
HoangBuii,2710,42,266,108,80,False,False,True,True,Grandmaster
C4N,1234,281,304,88,50,False,False,True,True,Grandmaster
VIE Wonka,2598,325,513,90,58,False,False,True,False,Grandmaster
Natsuiro,VN2,399,379,127,91,False,False,True,False,Grandmaster
Chủ Lò Gạo,2471,717,231,67,36,False,False,True,True,Grandmaster
namlovehuong,3107,552,309,113,78,False,False,False,False,Grandmaster
VN Dor1s,E9pro,71,508,137,97,False,False,True,False,Grandmaster
LEGION7PRO,VN2,215,364,118,93,False,False,True,False,Grandmaster
Đô Hoàng,2002,258,419,138,103,False,False,True,False,Grandmaster
Ha1 Huynh,12345,146,233,208,190,False,False,True,False,Grandmaster
TK14 Phối XD,VN2,453,302,98,76,False,False,True,True,Grandmaster
Top God,8666,538,236,184,139,False,False,True,False,Grandmaster
Tí Hớt Tiu,2080,264,305,72,49,False,False,True,False,Grandmaster
Cửu Ngủ Gật,0209,968,264,74,51,False,False,True,False,Grandmaster
Tun,1102,609,471,176,145,False,False,True,False,Grandmaster
lamqkdo,9217,443,255,185,146,False,False,True,False,Grandmaster
kakaOT,0128,398,293,151,119,False,False,True,False,Grandmaster
Bae Suzy,18012,744,293,157,124,False,False,True,True,Grandmaster
henhpropd,9262,85,444,108,80,False,False,True,False,Grandmaster
Ben ZeRo,5745,1,478,162,81,False,False,True,False,Grandmaster
Love and Hate,girls,122,503,117,93,False,False,True,True,Grandmaster
popdragonquest,2805,95,378,77,50,False,False,True,False,Grandmaster
Flex 4 Tiền,1031,291,243,101,81,False,False,True,True,Grandmaster
DoUKnowUrFather,2411,732,365,299,256,True,False,False,False,Grandmaster
dung iu nu,1508,110,464,89,53,False,False,True,True,Grandmaster
HoaItrinhBaO,VN2,612,231,108,69,False,False,True,False,Grandmaster
chuchimbeti,VNM,208,237,98,70,False,False,False,False,Grandmaster
T1NK,2001,132,293,106,65,False,False,True,False,Grandmaster
Yoon4,2759,243,250,88,54,False,False,True,False,Grandmaster
