Riot Games Name,Riot Games Tag Line,Summoner Level,Summoner Id,Summoner Name,Summoner Points,Summoner Rank,Summoner Wins,Summoner Losses,Is Veteran?,Is Inactive?,Is Fresh Blood?,Is Hot Streak?,Summoner Tier
MÙA NÀY TĐ,2002,568,agf9Se1UcGahv-KNBW4E0Nq6AVr9XXd6IyuzBxIDYtd62fWeHBF4oNN1ig,TTN7,271,I,116,72,False,False,True,True,Grandmaster
k 1 so ho,yahsu,495,KsmDmkAU7UTZYnlQpjIU0fww_RXnG41wyR28M_q7PazlphOKROSQ7crs9Q,k 1 loi thoat,365,I,95,42,False,False,True,False,Grandmaster
LTC Hay Dỗi ,VN2,75,xdcG9G8T53X5EIGPaM5E0K7saNfZVW9ZhC83I35yUlc6GEshvXbgMnJ02A,LTC Hay Dỗi,433,I,129,84,False,False,True,False,Grandmaster
Neoo1,VN2,486,NYO9MgImYefxVKXL9GCfRyuQPpKnA5WXsR2opRaqHcdisDWyKWJPzMaULg,Neoo1,381,I,116,106,False,False,True,True,Grandmaster
Chưa Tàii Đâuu,VN2,277,nUjGp9p0FkSXfnFu3x1dnFiWI6iktvRX1Jdtww2-_GSQ76LAq3ojXig6Gg,Chưa Tàii Đâuu,300,I,123,81,False,False,True,True,Grandmaster
Singed Choi,12321,465,XPyJTzpvmS4zWHwstlw1i4GOLquxgQVFCjtyqEqBNRm_IHNGSZUYWBI3UQ,Singed  Choi,266,I,150,112,False,False,True,True,Grandmaster
Khánh đz vcl,666,127,P_wiZ-tGxaMmV_JFh3y-jCONOtSAc26xv6aUCjcOl2MjDoWWvihOJr6gVA,Khánh đz vcl,365,I,99,74,False,False,True,False,Grandmaster
15071999,VN2,279,UFTFRm0h5oIYYwSaxwEYqnqfdeKIXe7UkD39zl4WsJn5HLqzbXVS5mX7fg,15071999,444,I,209,172,False,False,True,False,Grandmaster
TríKhánh,1810,544,rciLyVt2buLmE-6ViwGxHLI1HMey1SJddPraiq5nzhcsqfNIiltY2pTovA,KhanhTri1810,247,I,174,147,False,False,False,False,Grandmaster
Tùng bé,6789,251,a573mXC7_rfShBzEDpfSwHUD4qtM6pWa0DpycCeuXCBxuAEJ9DBhbbNjSw,Nhìn CC à ngu,259,I,157,120,False,False,True,True,Grandmaster
T1 Nidrim 2k,2110,137,brF2k8XKgmQay2AXYffd67oOkA7B0wh9Jn24pZwtcM6MYGnpA3Dv0cjSZA,Çurtis x Jinfa,257,I,121,86,False,False,True,True,Grandmaster
Không Phải Alexx,1809,5,0wrWtvCELudBL5hw4YheO1guth_EUCq_3ZwFaCPCyA6Ghx350CM_7PNPXw,Tôi là Alexx,505,I,186,161,False,False,True,False,Grandmaster
1Plus2Nana,VN3,415,nyQYvCHyVkIJHZw2vhjZd70FAYdDdZls6d06kWbM2fUYjLdP0Scweyso0Q,1PLUS2NANA,497,I,121,92,False,False,True,False,Grandmaster
onlyngmyanna,6944,276,oderNU4PKD4fe-3rvm0FUeDVI0XAX1E-JiXdbKSSKG-vYIiUgv-3a8NSbQ,ngmyanna,290,I,83,54,False,False,True,True,Grandmaster
valen,9526,47,-BFGb5nZbzHulMzDv6AiID1we8b4xsAbMWW0Ob0LMWYLc7GngvU3oJePeA,ga vi ci,334,I,157,131,False,False,True,True,Grandmaster
NamBom,1711,587,RCz0HH8kiDX-8x58TO8mebmWmSaitFZHUaNmgJ5wlXVXsirNShriXF95-Q,PRX Jinggg,369,I,98,57,False,False,False,True,Grandmaster
